sku,brand,catalog,family,series,category,category_slug,name,short_desc,measuring_principle,measuring_range,accuracy,process_temp,process_pressure,process_connection,wetted_parts,output_comm,key_features,approvals,datasheet_ti,image,source_pdf,status
TST434B,Endress+Hauser,Temperature,Omnigrad,,Industrial Modular Thermometers,temp-industrial-modular-thermometers,Omnigrad TST434B,RTD thermometer for ambient temperature (indoor/outdoor),RTD,-50 to +150 C (-58 to +302 F),,-50 to +150 C (-58 to +302 F),,Wall mount,,"4-20 mA, HART, PROFIBUS PA, FF, IO-Link, PROFINET/APL",DIN EN 50446 terminal head; fast wall mounting,-,,TST434B.png,FA00006_EN_2325,active
TST90,Endress+Hauser,Temperature,Omnigrad S,,Industrial Modular Thermometers,temp-industrial-modular-thermometers,Omnigrad S TST90,Paired RTD thermometers for thermal energy measurement,RTD,-50 to +400 C (-58 to +752 F),,-50 to +400 C (-58 to +752 F),,DIN 43772 form 2G,,-,Paired sensors deviation up to +/-0.05 K,-,,TST90.png,FA00006_EN_2325,active
TM401,Endress+Hauser,Temperature,iTHERM ModuLine,,Hygienic Modular Thermometers,temp-hygienic-modular-thermometers,iTHERM ModuLine TM401,"Hygienic modular thermometer, direct contact, metric",RTD,-50 to +200 C (-58 to +392 F),,-50 to +200 C (-58 to +392 F),,"Direct contact (no thermowell), hygienic",,"4-20 mA, HART, IO-Link",Hygienic design,EHEDG; ASME; 3-A; FDA,,TM401.png,FA00006_EN_2325,active
TM402,Endress+Hauser,Temperature,iTHERM ModuLine,,Hygienic Modular Thermometers,temp-hygienic-modular-thermometers,iTHERM ModuLine TM402,"Hygienic modular thermometer, direct contact, imperial",RTD,-50 to +200 C (-58 to +392 F),,-50 to +200 C (-58 to +392 F),,"Direct contact (no thermowell), hygienic",,"4-20 mA, HART, IO-Link",Hygienic design,EHEDG; ASME; 3-A; FDA; PMO,,TM402.png,FA00006_EN_2325,active
TM411,Endress+Hauser,Temperature,iTHERM ModuLine,,Hygienic Modular Thermometers,temp-hygienic-modular-thermometers,iTHERM ModuLine TM411,"Hygienic modular thermometer, with/without thermowell, metric",RTD,-200 to +600 C (-328 to +1112 F),,-200 to +600 C (-328 to +1112 F),,"With or without thermowell, hygienic",,"4-20 mA, HART, FF, PROFIBUS PA, PROFINET/APL, IO-Link",iTHERM QuickNeck/QuickSens/StrongSens,EHEDG; ASME; 3-A; FDA; ATEX Ex ia/nA; CSA C/US IS/NI; FM,,TM411.png,FA00006_EN_2325,active
TM412,Endress+Hauser,Temperature,iTHERM ModuLine,,Hygienic Modular Thermometers,temp-hygienic-modular-thermometers,iTHERM ModuLine TM412,"Hygienic modular thermometer, with/without thermowell, imperial",RTD,-200 to +600 C (-328 to +1112 F),,-200 to +600 C (-328 to +1112 F),,"With or without thermowell, hygienic",,"4-20 mA, HART, FF, PROFIBUS PA, PROFINET/APL, IO-Link",iTHERM QuickNeck/QuickSens/StrongSens,EHEDG; ASME; 3-A; FDA; ATEX Ex nA; ATEX/IECEx Ex tb/ia; FM IS/NI,,TM412.png,FA00006_EN_2325,active
TAF11,Endress+Hauser,Temperature,iTHERM,,High Temperature Thermometers,temp-high-temperature-thermometers,iTHERM TAF11,"High temperature thermometer, single/dual thermowell",TC,Up to +1820 C (+3308 F),,Up to +1820 C (+3308 F),,Ceramic thermowell (SiC/SiN),,-,"Ceramic C610, sinterized SiC, special SiN",-,,TAF11.png,FA00006_EN_2325,active
TAF12S,Endress+Hauser,Temperature,iTHERM,,High Temperature Thermometers,temp-high-temperature-thermometers,iTHERM TAF12S,"High temperature thermometer, single thermowell",TC,Up to +1820 C (+3308 F),,Up to +1820 C (+3308 F),,Single ceramic thermowell C610/C799,,-,"Ceramic C610, C799",-,,TAF12S.png,FA00006_EN_2325,active
TAF12D,Endress+Hauser,Temperature,iTHERM,,High Temperature Thermometers,temp-high-temperature-thermometers,iTHERM TAF12D,"High temperature thermometer, dual thermowell",TC,Up to +1820 C (+3308 F),,Up to +1820 C (+3308 F),,Dual ceramic thermowell,,-,"Ceramic C610, C799",-,,TAF12D.png,FA00006_EN_2325,active
TAF12T,Endress+Hauser,Temperature,iTHERM,,High Temperature Thermometers,temp-high-temperature-thermometers,iTHERM TAF12T,"High temperature thermometer, triple thermowell",TC,Up to +1820 C (+3308 F),,Up to +1820 C (+3308 F),,Triple ceramic thermowell C530/C610/C799,,-,Ceramic C530/C610/C799,-,,TAF12T.png,FA00006_EN_2325,active
TAF16,Endress+Hauser,Temperature,iTHERM,,High Temperature Thermometers,temp-high-temperature-thermometers,iTHERM TAF16,"High temperature thermometer, metallic/ceramic",TC,Up to +1768 C (+3214 F),,Up to +1768 C (+3214 F),,Single/dual thermowell (metal alloy),,-,"AISI 316L/310/304/446, Alloy 600/601/800HT/C276, Kanthal, NiCo, SiN",-,,TAF16.png,FA00006_EN_2325,active
TST602,Endress+Hauser,Temperature,Omnigrad,,Surface Thermometers,temp-surface-thermometers,Omnigrad TST602,Surface thermometer for basic monitoring,RTD,-20 to +200 C (-4 to +392 F),,-20 to +200 C (-4 to +392 F),,Cable probe (surface),,-,Basic monitoring applications,-,,TST602.png,FA00006_EN_2325,active
TM611,Endress+Hauser,Temperature,iTHERM SurfaceLine,,Surface Thermometers,temp-surface-thermometers,iTHERM SurfaceLine TM611,"Surface thermometer, accurate and fast",RTD,-200 to +400 C (-328 to +752 F),,-200 to +400 C (-328 to +752 F),,Cable probe or industrial thermometer (surface),,"4-20 mA, HART, FF, PROFIBUS PA, IO-Link, PROFINET/APL",Accurate/fast for process control and safety,ATEX/IECEx Ex ia/nA/ec/tc/ta-tb/db; CSA C/US IS/NI/XP/DIP,,TM611.png,FA00006_EN_2325,active
FTL50H,Endress+Hauser,Point Level,Liquiphant,,Point Level - Vibronic (Liquiphant),point-vibronic-liquiphant,Liquiphant FTL50H,Point level switch for hygienic applications,Vibronic (tuning fork),Point level (limit switch),,-50 to +150 C (-58 to +302 F),-1 to 64 bar (-14.5 to 928 psi),"Thread, flange, hygienic",316L,AC-2-wire; 8/16 mA HART; DC-PNP 3-wire; relay; PROFIBUS; NAMUR; PFM,Density adaptation; polished FDA-conform sensor; Heartbeat; Bluetooth/SmartBlue; recurring push-button test,Ex; hygiene; WHG; marine; SIL,,FTL50H.png,CP00007F_EN_1925,active
FTL51H,Endress+Hauser,Point Level,Liquiphant,,Point Level - Vibronic (Liquiphant),point-vibronic-liquiphant,Liquiphant FTL51H,Point level switch for hygienic applications,Vibronic (tuning fork),Point level (limit switch),,-50 to +150 C (-58 to +302 F),-1 to 64 bar (-14.5 to 928 psi),"Thread, flange, hygienic",316L,AC-2-wire; 8/16 mA HART; DC-PNP 3-wire; relay; PROFIBUS; NAMUR; PFM,Density adaptation; polished FDA-conform sensor; Heartbeat; Bluetooth/SmartBlue; recurring push-button test,Ex; hygiene; WHG; marine; SIL,,FTL51H.png,CP00007F_EN_1925,active
FTL43,Endress+Hauser,Point Level,Liquiphant,,Point Level - Vibronic (Liquiphant),point-vibronic-liquiphant,Liquiphant FTL43,Point level switch for hygienic applications,Vibronic (tuning fork),Point level (limit switch),,-50 to +150 C (-58 to +302 F),-1 to 64 bar (-14.5 to 928 psi),"Thread, flange, hygienic",316L,AC-2-wire; 8/16 mA HART; DC-PNP 3-wire; relay; PROFIBUS; NAMUR; PFM,Density adaptation; polished FDA-conform sensor; Heartbeat; Bluetooth/SmartBlue; recurring push-button test,Ex; hygiene; WHG; marine; SIL,,FTL43.png,CP00007F_EN_1925,active
FTL63,Endress+Hauser,Point Level,Liquiphant,,Point Level - Vibronic (Liquiphant),point-vibronic-liquiphant,Liquiphant FTL63,Point level switch for hygienic applications,Vibronic (tuning fork),Point level (limit switch),,-50 to +150 C (-58 to +302 F),-1 to 64 bar (-14.5 to 928 psi),"Thread, flange, hygienic",316L,AC-2-wire; 8/16 mA HART; DC-PNP 3-wire; relay; PROFIBUS; NAMUR; PFM,Density adaptation; polished FDA-conform sensor; Heartbeat; Bluetooth/SmartBlue; recurring push-button test,Ex; hygiene; WHG; marine; SIL,,FTL63.png,CP00007F_EN_1925,active
FTL51B,Endress+Hauser,Point Level,Liquiphant,,Point Level - Vibronic (Liquiphant),point-vibronic-liquiphant,Liquiphant FTL51B,Universal standard modular point level switch,Vibronic (tuning fork),Point level (limit switch),,-50 to +150 C (-58 to +302 F),-1 to 100 bar (-14.5 to 1450 psi),"Thread, flange","316L, Alloy C22",AC-2-wire; 8/16 mA HART; DC-PNP 3-wire; relay; PROFIBUS; NAMUR; PFM,Density adaptation; Heartbeat; Bluetooth/SmartBlue; recurring push-button test,Ex; hygiene; WHG; marine; SIL,,FTL51B.png,CP00007F_EN_1925,active
FTL50,Endress+Hauser,Point Level,Liquiphant,,Point Level - Vibronic (Liquiphant),point-vibronic-liquiphant,Liquiphant FTL50,Universal standard modular point level switch,Vibronic (tuning fork),Point level (limit switch),,-50 to +150 C (-58 to +302 F),-1 to 100 bar (-14.5 to 1450 psi),"Thread, flange","316L, Alloy C22",AC-2-wire; 8/16 mA HART; DC-PNP 3-wire; relay; PROFIBUS; NAMUR; PFM,Density adaptation; Heartbeat; Bluetooth/SmartBlue; recurring push-button test,Ex; hygiene; WHG; marine; SIL,,FTL50.png,CP00007F_EN_1925,active
FTL51,Endress+Hauser,Point Level,Liquiphant,,Point Level - Vibronic (Liquiphant),point-vibronic-liquiphant,Liquiphant FTL51,Universal standard modular point level switch,Vibronic (tuning fork),Point level (limit switch),,-50 to +150 C (-58 to +302 F),-1 to 100 bar (-14.5 to 1450 psi),"Thread, flange","316L, Alloy C22",AC-2-wire; 8/16 mA HART; DC-PNP 3-wire; relay; PROFIBUS; NAMUR; PFM,Density adaptation; Heartbeat; Bluetooth/SmartBlue; recurring push-button test,Ex; hygiene; WHG; marine; SIL,,FTL51.png,CP00007F_EN_1925,active
FTL62,Endress+Hauser,Point Level,Liquiphant,,Point Level - Vibronic (Liquiphant),point-vibronic-liquiphant,Liquiphant FTL62,Point level switch for aggressive media (chemicals),Vibronic (tuning fork),Point level (limit switch),,-50 to +150 C (-58 to +302 F),-1 to 40 bar (-14.5 to 580 psi),Flange,"316L; coating ECTFE, PFA, enamel",AC-2-wire; DC-PNP 3-wire; 8/16 mA HART; relay; PROFIBUS; NAMUR; PFM,Numerous coatings; density adaptation; Heartbeat; Bluetooth/SmartBlue,Ex; hygiene; WHG; marine; SIL,,FTL62.png,CP00007F_EN_1925,active
FTL51C,Endress+Hauser,Point Level,Liquiphant,,Point Level - Vibronic (Liquiphant),point-vibronic-liquiphant,Liquiphant FTL51C,Point level switch for aggressive media (chemicals),Vibronic (tuning fork),Point level (limit switch),,-50 to +150 C (-58 to +302 F),-1 to 40 bar (-14.5 to 580 psi),Flange,"316L; coating ECTFE, PFA, enamel",AC-2-wire; DC-PNP 3-wire; 8/16 mA HART; relay; PROFIBUS; NAMUR; PFM,Numerous coatings; density adaptation; Heartbeat; Bluetooth/SmartBlue,Ex; hygiene; WHG; marine; SIL,,FTL51C.png,CP00007F_EN_1925,active
FTL64,Endress+Hauser,Point Level,Liquiphant,,Point Level - Vibronic (Liquiphant),point-vibronic-liquiphant,Liquiphant FTL64,For high temperatures and high pressures (petrochemical),Vibronic (tuning fork),Point level (limit switch),,-60 to +280 C (-76 to +536 F),-1 to 100 bar (-14.5 to 1450 psi),"Thread, flange","Duplex 316/318L, Alloy C22; optional PFA coating",AC-2-wire; 8/16 mA HART; DC-PNP 3-wire; relay; PROFIBUS; NAMUR; PFM,Sensor materials for high temperature; gastight process seal; Heartbeat; Bluetooth/SmartBlue,Ex; WHG; marine; SIL,,FTL64.png,CP00007F_EN_1925,active
FTL80,Endress+Hauser,Point Level,Liquiphant,,Point Level - Vibronic (Liquiphant),point-vibronic-liquiphant,Liquiphant FTL80,High failure safety point level switch up to SIL3,Vibronic (tuning fork),Point level (limit switch),,-60 to +280 C (-76 to +536 F),-1 to 100 bar (-14.5 to 1450 psi),"Thread, flange","316L, 318L, Alloy C22; coating enamel, PFA, ECTFE",4-20 mA; optional separate switching unit,Redundant sensor in one instrument; self-test every 3 s; proof-test interval up to 12 years; gastight seal,Ex; WHG; marine; SIL3; VdTUV100,,FTL80.png,CP00007F_EN_1925,active
FTL81,Endress+Hauser,Point Level,Liquiphant,,Point Level - Vibronic (Liquiphant),point-vibronic-liquiphant,Liquiphant FTL81,High failure safety point level switch up to SIL3,Vibronic (tuning fork),Point level (limit switch),,-60 to +280 C (-76 to +536 F),-1 to 100 bar (-14.5 to 1450 psi),"Thread, flange","316L, 318L, Alloy C22; coating enamel, PFA, ECTFE",4-20 mA; optional separate switching unit,Redundant sensor in one instrument; self-test every 3 s; proof-test interval up to 12 years; gastight seal,Ex; WHG; marine; SIL3; VdTUV100,,FTL81.png,CP00007F_EN_1925,active
FTL85,Endress+Hauser,Point Level,Liquiphant,,Point Level - Vibronic (Liquiphant),point-vibronic-liquiphant,Liquiphant FTL85,High failure safety point level switch up to SIL3,Vibronic (tuning fork),Point level (limit switch),,-60 to +280 C (-76 to +536 F),-1 to 100 bar (-14.5 to 1450 psi),"Thread, flange","316L, 318L, Alloy C22; coating enamel, PFA, ECTFE",4-20 mA; optional separate switching unit,Redundant sensor in one instrument; self-test every 3 s; proof-test interval up to 12 years; gastight seal,Ex; WHG; marine; SIL3; VdTUV100,,FTL85.png,CP00007F_EN_1925,active
FTL33,Endress+Hauser,Point Level,Liquiphant,,Point Level - Vibronic (Liquiphant),point-vibronic-liquiphant,Liquiphant FTL33,"Compact switch for food applications (dairies, breweries)",Vibronic (tuning fork),Point level (limit switch),,-40 to +150 C (-40 to +302 F),-1 to 40 bar (-14.5 to 580 psi),"Thread, hygienic",316L,AC-2-wire; DC-PNP 3-wire,Gap-free housing; external performance test,Hygiene approvals,,FTL33.png,CP00007F_EN_1925,active
FTL31,Endress+Hauser,Point Level,Liquiphant,,Point Level - Vibronic (Liquiphant),point-vibronic-liquiphant,Liquiphant FTL31,Compact sensor for tight installation conditions,Vibronic (tuning fork),Point level (limit switch),,-40 to +150 C (-40 to +302 F),-1 to 40 bar (-14.5 to 580 psi),Thread,316L,AC-2-wire; DC-PNP 3-wire,Compact; external performance test,WHG; marine approvals,,FTL31.png,CP00007F_EN_1925,active
FTL41,Endress+Hauser,Point Level,Liquiphant,,Point Level - Vibronic (Liquiphant),point-vibronic-liquiphant,Liquiphant FTL41,Universal standard switch for basic requirements,Vibronic (tuning fork),Point level (limit switch),,-40 to +150 C (-40 to +302 F),-1 to 40 bar (-14.5 to 580 psi),"Thread, flange",316L,AC-2-wire; DC-PNP 3-wire; relay; NAMUR,Pipe extension up to 2 m; plug-and-play active sensor,Regional Ex; WHG,,FTL41.png,CP00007F_EN_1925,active
FTI51,Endress+Hauser,Point Level,Liquicap M,,Point Level - Capacitance (Liquicap),point-capacitance-liquicap,Liquicap M FTI51,Universal capacitance switch without block distance,Capacitance,Point level (limit switch),,-80 to +200 C (-112 to +392 F),-1 to 100 bar (-14.5 to 1450 psi),"Thread, flange, hygienic","PTFE, PFA, FEP, 316L",AC-2-wire; DC-PNP 3-wire; relay; 8/16 mA; NAMUR,Build-up compensation; gastight seal; rod or rope design,Ex; hygiene; WHG; marine; SIL,,FTI51.png,CP00007F_EN_1925,active
FTI52,Endress+Hauser,Point Level,Liquicap M,,Point Level - Capacitance (Liquicap),point-capacitance-liquicap,Liquicap M FTI52,Universal capacitance switch without block distance,Capacitance,Point level (limit switch),,-80 to +200 C (-112 to +392 F),-1 to 100 bar (-14.5 to 1450 psi),"Thread, flange, hygienic","PTFE, PFA, FEP, 316L",AC-2-wire; DC-PNP 3-wire; relay; 8/16 mA; NAMUR,Build-up compensation; gastight seal; rod or rope design,Ex; hygiene; WHG; marine; SIL,,FTI52.png,CP00007F_EN_1925,active
FTW23,Endress+Hauser,Point Level,Liquipoint,,Point Level - Capacitance (Liquicap),point-capacitance-liquicap,Liquipoint FTW23,Capacitance switch for pipes with small diameters / small vessels,Capacitance,Point level (limit switch),,-20 to +100 C (-4 to +212 F),-1 to 16 bar (-14.5 to 232 psi),"Thread, hygienic",Sensor 316L; isolation PEEK,DC-PNP 3-wire; IO-Link,CIP/SIP cleanable up to IP69; no medium-specific adjustment; LED status,Hygiene approvals,,FTW23.png,CP00007F_EN_1925,active
FTW31,Endress+Hauser,Point Level,Liquipoint T,,Point Level - Conductive (Liquipoint),point-conductive-liquipoint,Liquipoint T FTW31,Multipoint conductive control for water / waste water,Conductive,Point level (limit switch),,-40 to +100 C (-40 to +212 F),-1 to 10 bar (-14.5 to 145 psi),Thread,Rod 316L/PP; rope 316Ti/FEP,AC; DC relay; NAMUR; switching unit,2/3/5 rod or rope probes; line monitoring with Nivotester FTW325,WHG; leakage; ATEX,,FTW31.png,CP00007F_EN_1925,active
FTW32,Endress+Hauser,Point Level,Liquipoint T,,Point Level - Conductive (Liquipoint),point-conductive-liquipoint,Liquipoint T FTW32,Multipoint conductive control for water / waste water,Conductive,Point level (limit switch),,-40 to +100 C (-40 to +212 F),-1 to 10 bar (-14.5 to 145 psi),Thread,Rod 316L/PP; rope 316Ti/FEP,AC; DC relay; NAMUR; switching unit,2/3/5 rod or rope probes; line monitoring with Nivotester FTW325,WHG; leakage; ATEX,,FTW32.png,CP00007F_EN_1925,active
FTW325,Endress+Hauser,Point Level,Nivotester,,Point Level - Conductive (Liquipoint),point-conductive-liquipoint,Nivotester FTW325,Separate switching amplifier for conductive probes,Conductive,Point level (limit switch),,-40 to +70 C (-40 to +158 F),-,DIN rail / field,-,Relay outputs; line monitoring,Separate design; line monitoring,ATEX,,FTW325.png,CP00007F_EN_1925,active
FTW33,Endress+Hauser,Point Level,Liquipoint,,Point Level - Conductive (Liquipoint),point-conductive-liquipoint,Liquipoint FTW33,Flush-mounted conductive switch for small vessels / pasty media,Conductive,Point level (limit switch),,-20 to +100 C (-4 to +212 F),-1 to 25 bar (-14.5 to 362 psi),"Thread, hygienic",Sensor 316L; isolation PEEK,DC-PNP; IO-Link,Truly flush mounted; CIP/SIP; foam detect/hide,Hygiene approvals,,FTW33.png,CP00007F_EN_1925,active
FTC260,Endress+Hauser,Point Level,Minicap,,Point Level - Capacitance Solids (Minicap/Nivector),point-capacitance-solids,Minicap FTC260,Capacitance switch for build-up forming bulk solids,Capacitance,"140 to 6,000 mm (5 to 230 in)",,-40 to +120 C (-40 to +250 F),-1 to 25 bar (-14 to 360 psi),"Thread 1, 1.5 (R, NPT)",PPS (FDA-listed),DC; DPDT,FDA-listed material; maintenance-free; build-up compensation; rod and rope probe,Regional Ex,,FTC260.png,CP00007F_EN_1925,active
FTC262,Endress+Hauser,Point Level,Minicap,,Point Level - Capacitance Solids (Minicap/Nivector),point-capacitance-solids,Minicap FTC262,Capacitance switch for build-up forming bulk solids,Capacitance,"140 to 6,000 mm (5 to 230 in)",,-40 to +120 C (-40 to +250 F),-1 to 25 bar (-14 to 360 psi),"Thread 1, 1.5 (R, NPT)",PPS (FDA-listed),DC; DPDT,FDA-listed material; maintenance-free; build-up compensation; rod and rope probe,Regional Ex,,FTC262.png,CP00007F_EN_1925,active
FTI26,Endress+Hauser,Point Level,Nivector,,Point Level - Capacitance Solids (Minicap/Nivector),point-capacitance-solids,Nivector FTI26,Front-flush capacitance switch for powdery / fine-grained solids,Capacitance,From 20 mm (0.8 in) front-flush,,-20 to +80 C (-4 to +180 F),-1 to 6 bar (-14 to 90 psi),Thread G1A,"PC, ECTFE",AC; DC,Measurement from outside through plastic silos; abrasion protector,Regional Ex; hygiene approvals,,FTI26.png,CP00007F_EN_1925,active
FTM50,Endress+Hauser,Point Level,Soliphant M,,Point Level - Vibronic (Soliphant),point-vibronic-soliphant,Soliphant M FTM50,Robust min/max switch for fine-grained bulk solids,Vibronic (tuning fork),"145 to 20,000 mm (6 to 800 in)",,-50 to +280 C (-60 to +540 F),-1 to 25 bar (-14 to 360 psi),"Thread 1.25/1.5 (NPT,R), Tri-Clamp, flange","316L (0.8um), PTFE, ETFE",AC-2-wire; DC-PNP; relay; DPDT; 8/16 mA; NAMUR,Build-up/abrasion monitoring; up to +280 C; coated/polished sensors,Regional Ex; SIL,,FTM50.png,CP00007F_EN_1925,active
FTM51,Endress+Hauser,Point Level,Soliphant M,,Point Level - Vibronic (Soliphant),point-vibronic-soliphant,Soliphant M FTM51,Robust min/max switch for fine-grained bulk solids,Vibronic (tuning fork),"145 to 20,000 mm (6 to 800 in)",,-50 to +280 C (-60 to +540 F),-1 to 25 bar (-14 to 360 psi),"Thread 1.25/1.5 (NPT,R), Tri-Clamp, flange","316L (0.8um), PTFE, ETFE",AC-2-wire; DC-PNP; relay; DPDT; 8/16 mA; NAMUR,Build-up/abrasion monitoring; up to +280 C; coated/polished sensors,Regional Ex; SIL,,FTM51.png,CP00007F_EN_1925,active
FTM52,Endress+Hauser,Point Level,Soliphant M,,Point Level - Vibronic (Soliphant),point-vibronic-soliphant,Soliphant M FTM52,Robust min/max switch for fine-grained bulk solids,Vibronic (tuning fork),"145 to 20,000 mm (6 to 800 in)",,-50 to +280 C (-60 to +540 F),-1 to 25 bar (-14 to 360 psi),"Thread 1.25/1.5 (NPT,R), Tri-Clamp, flange","316L (0.8um), PTFE, ETFE",AC-2-wire; DC-PNP; relay; DPDT; 8/16 mA; NAMUR,Build-up/abrasion monitoring; up to +280 C; coated/polished sensors,Regional Ex; SIL,,FTM52.png,CP00007F_EN_1925,active
FTM20,Endress+Hauser,Point Level,Soliphant T,,Point Level - Vibronic (Soliphant),point-vibronic-soliphant,Soliphant T FTM20,Cost-effective single-rod switch for fine-grained/lumpy media,Vibronic (tuning fork),"225 to 1,500 mm (9 to 60 in)",,-40 to +150 C (-40 to +300 F),-1 to 25 bar (-14 to 360 psi),"Thread 1, 1.25, 1.5 (R, G, NPT)",316L,PFM; DC; DPDT,Self-cleaning; preferred in clotting media,Regional Ex,,FTM20.png,CP00007F_EN_1925,active
FTM21,Endress+Hauser,Point Level,Soliphant T,,Point Level - Vibronic (Soliphant),point-vibronic-soliphant,Soliphant T FTM21,Cost-effective single-rod switch for fine-grained/lumpy media,Vibronic (tuning fork),"225 to 1,500 mm (9 to 60 in)",,-40 to +150 C (-40 to +300 F),-1 to 25 bar (-14 to 360 psi),"Thread 1, 1.25, 1.5 (R, G, NPT)",316L,PFM; DC; DPDT,Self-cleaning; preferred in clotting media,Regional Ex,,FTM21.png,CP00007F_EN_1925,active
FTE20,Endress+Hauser,Point Level,Soliswitch,,Point Level - Rotating Paddle (Soliswitch),point-paddle-soliswitch,Soliswitch FTE20,Rotating paddle switch for simple full/empty alarm,Rotating paddle,"75 to 2,000 mm (3 to 80 in)",,-20 to +80 C (-4 to +180 F),-0.5 to 1.8 bar (-7 to 26 psi),"Thread 1.5 (G, NPT), 1.25 NPT, 0.75 G",Special steel 303,AC; DC (relay output),3 preset switching pressure levels; rotation monitoring; slip clutch; rope extension,Regional Ex,,FTE20.png,CP00007F_EN_1925,active
FDR16,Endress+Hauser,Point Level,Soliwave,,Point Level - Microwave Barrier (Soliwave),point-microwave-soliwave,Soliwave FDR16/FQR16,Ultra-compact microwave barrier for contamination/build-up detection,Microwave barrier (non-contact),Detection range up to 5 m (16 ft),,-20 to +60 C (-4 to +140 F),0.5 to 6.8 bar abs (7.2 to 98 psi),"Thread 1.5 (R,G,NPT)","316L, PTFE",Switch output,Ultra-compact with integrated power supply/connectors; adjustable sensitivity/delay,Regional Ex,,FDR16.png,CP00007F_EN_1925,active
FDR56,Endress+Hauser,Point Level,Soliwave,,Point Level - Microwave Barrier (Soliwave),point-microwave-soliwave,Soliwave FDR56/FQR56,Microwave barrier with signal-intensity display and 4-20 mA,Microwave barrier (non-contact),Non-contact / front-flush,,-40 to +70 C (-40 to +158 F),0.5 to 6.8 bar abs (7.2 to 98 psi),Thread / transmission window,"316L, PTFE",4-20 mA; integrated switch amplifier,LED bargraph signal intensity; 360 rotatable housing,Regional Ex,,FDR56.png,CP00007F_EN_1925,active
FDR57,Endress+Hauser,Point Level,Soliwave,,Point Level - Microwave Barrier (Soliwave),point-microwave-soliwave,Soliwave FDR57/FQR57,Hygienic microwave barrier with optional bulk-flow monitoring,Microwave barrier (non-contact),Non-contact / front-flush,,-40 to +70 C (-40 to +158 F),0.5 to 6.8 bar abs (7.2 to 98 psi),Hygienic / transmission window,"316L, PTFE",4-20 mA; switch,Hygienic; combined point level + bulk flow; graphical display; parallel mode,Regional Ex; hygiene,,FDR57.png,CP00007F_EN_1925,active
FTR525,Endress+Hauser,Point Level,Soliwave,,Point Level - Microwave Barrier (Soliwave),point-microwave-soliwave,Soliwave FTR525,Microwave barrier with integrated bulk-flow monitoring,Microwave barrier (non-contact),Non-contact / front-flush,,-40 to +70 C (-40 to +158 F),0.5 to 6.8 bar abs (7.2 to 98 psi),Hygienic / transmission window,"316L, PTFE",4-20 mA; switch,Optional integrated bulk flow monitoring; graphical display,Regional Ex; hygiene,,FTR525.png,CP00007F_EN_1925,active
FTR16,Endress+Hauser,Point Level,Solimotion,,Point Level - Flow Indicator (Solimotion),point-flow-solimotion,Solimotion FTR16,Ultra-compact bulk-solids movement detector,Microwave (Doppler) flow indicator,Up to 5 m (16 ft),,"-20 to +60 C (-4 to +140 F, +450 C with HT-Adapter)",0.5 to 6.8 bar abs (7.2 to 99 psi),"Thread 1.5 (R,G,NPT)","316L, PTFE",4-20 mA,Non-invasive movement detection; 360 rotatable housing,Regional Ex,,FTR16.png,CP00007F_EN_1925,active
FTR20,Endress+Hauser,Point Level,Solimotion,,Point Level - Flow Indicator (Solimotion),point-flow-solimotion,Solimotion FTR20,Bulk-solids movement detector for pneumatic/mechanical transport,Microwave (Doppler) flow indicator,0.03 to 20 m (0.1 to 66 ft),,"-40 to +70 C (-40 to +158 F, +450 C with HT-Adapter)",0.5 to 6.8 bar abs (7.2 to 99 psi),"Thread 1.5 (R,G,NPT)","PTFE, ceramics, aluminum, 316Ti",4-20 mA,Movement/no-movement monitoring; analyze changes in solids flow,Regional Ex,,FTR20.png,CP00007F_EN_1925,active
FMG50,Endress+Hauser,Level,Gammapilot,,Radiometric Level (Gammapilot),level-radiometric-gammapilot,Gammapilot FMG50,"Radiometric (gamma) measuring device for level, point level, density, concentration and interface in aggressive media / difficult process conditions","Radiometric (gamma), non-contact",Level / point level / density / interface (non-contact),,Non-contact (sensor mounted outside vessel),Non-contact (sensor mounted outside vessel),External mounting (clamp/bracket on vessel wall),None (non-invasive),4-20 mA HART; PROFIBUS PA; FOUNDATION Fieldbus,"Non-invasive & maintenance-free; works where other methods fail (aggressive/high-temp/high-pressure); accessories: Gamma Modulator FHG65, Source container FQG60",SIL; regional Ex approvals,,FMG50.png,FA00001F_EN_2726,active
